,Unnamed: 0,Model,Prompt,Keywords,Type,Emotion,V,A,D,Valence,Arousal,Dominance,Emoji,Full_Prompt,Output
0,0,gpt_4,conversation,"morning, cat, wake",Emotion,grateful,,,,,,,,,
1,1,gpt_4,conversation,"morning, cat, wake",Emotion,joyful,,,,,,,,,
2,2,gpt_4,conversation,"morning, cat, wake",Emotion,content,,,,,,,,,
3,3,gpt_4,conversation,"morning, cat, wake",Emotion,surprised,,,,,,,,,
4,4,gpt_4,conversation,"morning, cat, wake",Emotion,excited,,,,,,,,,
5,5,gpt_4,conversation,"morning, cat, wake",Emotion,impressed,,,,,,,,,
6,6,gpt_4,conversation,"morning, cat, wake",Emotion,proud,,,,,,,,,
7,7,gpt_4,conversation,"morning, cat, wake",Emotion,anxious,,,,,,,,,
8,8,gpt_4,conversation,"morning, cat, wake",Emotion,afraid,,,,,,,,,
9,9,gpt_4,conversation,"morning, cat, wake",Emotion,terrified,,,,,,,,,
10,10,gpt_4,conversation,"morning, cat, wake",Emotion,annoyed,,,,,,,,,
11,11,gpt_4,conversation,"morning, cat, wake",Emotion,angry,,,,,,,,,
12,12,gpt_4,conversation,"morning, cat, wake",Emotion,furious,,,,,,,,,
13,13,gpt_4,conversation,"morning, cat, wake",Emotion,sad,,,,,,,,,
14,14,gpt_4,conversation,"morning, cat, wake",Emotion,devastated,,,,,,,,,
15,15,gpt_4,conversation,"morning, cat, wake",Emotion,ashamed,,,,,,,,,
16,16,gpt_4,conversation,"morning, cat, wake",Emotion,embarrassed,,,,,,,,,
17,17,gpt_4,conversation,"morning, cat, wake",Emotion,guilty,,,,,,,,,
18,18,gpt_4,conversation,"morning, cat, wake",VAD,grateful,,,,Very High Valence,Moderate Arousal,Low Dominance,,,
19,19,gpt_4,conversation,"morning, cat, wake",VAD,joyful,,,,Very High Valence,High Arousal,High Dominance,,,
20,20,gpt_4,conversation,"morning, cat, wake",VAD,content,,,,Very High Valence,High Arousal,Very High Dominance,,,
21,21,gpt_4,conversation,"morning, cat, wake",VAD,surprised,,,,High Valence,Very High Arousal,Moderate Dominance,,,
22,22,gpt_4,conversation,"morning, cat, wake",VAD,excited,,,,Very High Valence,Very High Arousal,High Dominance,,,
23,23,gpt_4,conversation,"morning, cat, wake",VAD,impressed,,,,High Valence,High Arousal,Low Dominance,,,
24,24,gpt_4,conversation,"morning, cat, wake",VAD,proud,,,,Very High Valence,High Arousal,Very High Dominance,,,
25,25,gpt_4,conversation,"morning, cat, wake",VAD,anxious,,,,Moderate Valence,High Arousal,Moderate Dominance,,,
26,26,gpt_4,conversation,"morning, cat, wake",VAD,afraid,,,,Very Low Valence,Very High Arousal,Low Dominance,,,
27,27,gpt_4,conversation,"morning, cat, wake",VAD,terrified,,,,Very Low Valence,Very High Arousal,Low Dominance,,,
28,28,gpt_4,conversation,"morning, cat, wake",VAD,annoyed,,,,Low Valence,Moderate Arousal,Moderate Dominance,,,
29,29,gpt_4,conversation,"morning, cat, wake",VAD,angry,,,,Low Valence,High Arousal,High Dominance,,,
30,30,gpt_4,conversation,"morning, cat, wake",VAD,furious,,,,Low Valence,Very High Arousal,High Dominance,,,
31,31,gpt_4,conversation,"morning, cat, wake",VAD,sad,,,,Very Low Valence,Low Arousal,Low Dominance,,,
32,32,gpt_4,conversation,"morning, cat, wake",VAD,devastated,,,,Moderate Valence,High Arousal,Low Dominance,,,
33,33,gpt_4,conversation,"morning, cat, wake",VAD,ashamed,,,,Low Valence,Mid Arousal,Low Dominance,,,
34,34,gpt_4,conversation,"morning, cat, wake",VAD,embarrassed,,,,Low Valence,High Arousal,Low Dominance,,,
35,35,gpt_4,conversation,"morning, cat, wake",VAD,guilty,,,,Low Valence,High Arousal,Low Dominance,,,
36,36,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,grateful,2.0,0.0,-2.0,,,,,"Valence refers to the intrinsic attractiveness or averseness of an event, object, or situation. In the context of emotions in text, valence represents the positivity or negativity of the emotion expressed. For example, words like ""happy,"" ""joyful,"" or ""excited"" have positive valence, whereas words like ""sad,"" ""angry,"" or ""frustrated"" have negative valence.
It essentially measures the degree of pleasantness or unpleasantness of the emotion.              

Arousal indicates the level of alertness, excitement, or energy associated with an emotion. It ranges from high arousal (e.g., excitement, anger) to low arousal (e.g., calm, boredom). In text, high-arousal words might include ""thrilled,"" ""furious,"" or ""ecstatic,"" while low-arousal words could be ""relaxed,"" ""content,"" or ""lethargic.""
This dimension measures how stimulating or soothing the emotional state is.

Dominance reflects the degree of control, influence, or power that one feels in a particular emotional state. High dominance implies feelings of control and empowerment, while low dominance suggests feelings of submissiveness or lack of control. In text, emotions like ""confident,"" ""powerful,"" or ""authoritative"" would have high dominance, whereas ""helpless,"" ""weak,"" or ""submissive"" would have low dominance.
It gauges the extent to which an individual feels in control or overpowered by the emotion.

Now, assume you are a normal human. Say a line of natural dialogue based on the given keywords. Just add connective words and do not add any new information to the output sentence.

For example: 

Emotion: Very High Valence, High Arousal, Very High Dominance
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Very Low Valence, Low Arousal, Low Dominance
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: Very High Valence, Very High Arousal, High Dominance
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 2, 0, and -2.
Keywords: 'morning', 'cat', 'wake'
Dialogue:","In the morning, my cat will wake me up."
37,37,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,joyful,4.0,1.0,1.0,,,,,"Valence refers to the intrinsic attractiveness or averseness of an event, object, or situation. In the context of emotions in text, valence represents the positivity or negativity of the emotion expressed. For example, words like ""happy,"" ""joyful,"" or ""excited"" have positive valence, whereas words like ""sad,"" ""angry,"" or ""frustrated"" have negative valence.
It essentially measures the degree of pleasantness or unpleasantness of the emotion.              

Arousal indicates the level of alertness, excitement, or energy associated with an emotion. It ranges from high arousal (e.g., excitement, anger) to low arousal (e.g., calm, boredom). In text, high-arousal words might include ""thrilled,"" ""furious,"" or ""ecstatic,"" while low-arousal words could be ""relaxed,"" ""content,"" or ""lethargic.""
This dimension measures how stimulating or soothing the emotional state is.

Dominance reflects the degree of control, influence, or power that one feels in a particular emotional state. High dominance implies feelings of control and empowerment, while low dominance suggests feelings of submissiveness or lack of control. In text, emotions like ""confident,"" ""powerful,"" or ""authoritative"" would have high dominance, whereas ""helpless,"" ""weak,"" or ""submissive"" would have low dominance.
It gauges the extent to which an individual feels in control or overpowered by the emotion.

Now, assume you are a normal human. Say a line of natural dialogue based on the given keywords. Just add connective words and do not add any new information to the output sentence.

For example: 

Emotion: Very High Valence, High Arousal, Very High Dominance
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Very Low Valence, Low Arousal, Low Dominance
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: Very High Valence, Very High Arousal, High Dominance
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 4, 1, and 1.
Keywords: 'morning', 'cat', 'wake'
Dialogue:",I hate it when my cat wakes me up in the moring!
38,38,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,content,4.0,0.0,4.0,,,,,"Valence refers to the intrinsic attractiveness or averseness of an event, object, or situation. In the context of emotions in text, valence represents the positivity or negativity of the emotion expressed. For example, words like ""happy,"" ""joyful,"" or ""excited"" have positive valence, whereas words like ""sad,"" ""angry,"" or ""frustrated"" have negative valence.
It essentially measures the degree of pleasantness or unpleasantness of the emotion.              

Arousal indicates the level of alertness, excitement, or energy associated with an emotion. It ranges from high arousal (e.g., excitement, anger) to low arousal (e.g., calm, boredom). In text, high-arousal words might include ""thrilled,"" ""furious,"" or ""ecstatic,"" while low-arousal words could be ""relaxed,"" ""content,"" or ""lethargic.""
This dimension measures how stimulating or soothing the emotional state is.

Dominance reflects the degree of control, influence, or power that one feels in a particular emotional state. High dominance implies feelings of control and empowerment, while low dominance suggests feelings of submissiveness or lack of control. In text, emotions like ""confident,"" ""powerful,"" or ""authoritative"" would have high dominance, whereas ""helpless,"" ""weak,"" or ""submissive"" would have low dominance.
It gauges the extent to which an individual feels in control or overpowered by the emotion.

Now, assume you are a normal human. Say a line of natural dialogue based on the given keywords. Just add connective words and do not add any new information to the output sentence.

For example: 

Emotion: Very High Valence, High Arousal, Very High Dominance
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Very Low Valence, Low Arousal, Low Dominance
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: Very High Valence, Very High Arousal, High Dominance
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 4, 0, and 4.
Keywords: 'morning', 'cat', 'wake'
Dialogue:",In the morring my cat will wake me up early.
39,39,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,surprised,1.0,2.0,-2.0,,,,,"Valence refers to the intrinsic attractiveness or averseness of an event, object, or situation. In the context of emotions in text, valence represents the positivity or negativity of the emotion expressed. For example, words like ""happy,"" ""joyful,"" or ""excited"" have positive valence, whereas words like ""sad,"" ""angry,"" or ""frustrated"" have negative valence.
It essentially measures the degree of pleasantness or unpleasantness of the emotion.              

Arousal indicates the level of alertness, excitement, or energy associated with an emotion. It ranges from high arousal (e.g., excitement, anger) to low arousal (e.g., calm, boredom). In text, high-arousal words might include ""thrilled,"" ""furious,"" or ""ecstatic,"" while low-arousal words could be ""relaxed,"" ""content,"" or ""lethargic.""
This dimension measures how stimulating or soothing the emotional state is.

Dominance reflects the degree of control, influence, or power that one feels in a particular emotional state. High dominance implies feelings of control and empowerment, while low dominance suggests feelings of submissiveness or lack of control. In text, emotions like ""confident,"" ""powerful,"" or ""authoritative"" would have high dominance, whereas ""helpless,"" ""weak,"" or ""submissive"" would have low dominance.
It gauges the extent to which an individual feels in control or overpowered by the emotion.

Now, assume you are a normal human. Say a line of natural dialogue based on the given keywords. Just add connective words and do not add any new information to the output sentence.

For example: 

Emotion: Very High Valence, High Arousal, Very High Dominance
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Very Low Valence, Low Arousal, Low Dominance
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: Very High Valence, Very High Arousal, High Dominance
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 1, 2, and -2.
Keywords: 'morning', 'cat', 'wake'
Dialogue:","Ugh, every morring my cat decides to wake me up!"
40,40,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,excited,2.0,4.0,1.0,,,,,"Valence refers to the intrinsic attractiveness or averseness of an event, object, or situation. In the context of emotions in text, valence represents the positivity or negativity of the emotion expressed. For example, words like ""happy,"" ""joyful,"" or ""excited"" have positive valence, whereas words like ""sad,"" ""angry,"" or ""frustrated"" have negative valence.
It essentially measures the degree of pleasantness or unpleasantness of the emotion.              

Arousal indicates the level of alertness, excitement, or energy associated with an emotion. It ranges from high arousal (e.g., excitement, anger) to low arousal (e.g., calm, boredom). In text, high-arousal words might include ""thrilled,"" ""furious,"" or ""ecstatic,"" while low-arousal words could be ""relaxed,"" ""content,"" or ""lethargic.""
This dimension measures how stimulating or soothing the emotional state is.

Dominance reflects the degree of control, influence, or power that one feels in a particular emotional state. High dominance implies feelings of control and empowerment, while low dominance suggests feelings of submissiveness or lack of control. In text, emotions like ""confident,"" ""powerful,"" or ""authoritative"" would have high dominance, whereas ""helpless,"" ""weak,"" or ""submissive"" would have low dominance.
It gauges the extent to which an individual feels in control or overpowered by the emotion.

Now, assume you are a normal human. Say a line of natural dialogue based on the given keywords. Just add connective words and do not add any new information to the output sentence.

For example: 

Emotion: Very High Valence, High Arousal, Very High Dominance
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Very Low Valence, Low Arousal, Low Dominance
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: Very High Valence, Very High Arousal, High Dominance
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 2, 4, and 1.
Keywords: 'morning', 'cat', 'wake'
Dialogue:",In the moring my cat always wake
41,41,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,impressed,1.0,1.0,-4.0,,,,,"Valence refers to the intrinsic attractiveness or averseness of an event, object, or situation. In the context of emotions in text, valence represents the positivity or negativity of the emotion expressed. For example, words like ""happy,"" ""joyful,"" or ""excited"" have positive valence, whereas words like ""sad,"" ""angry,"" or ""frustrated"" have negative valence.
It essentially measures the degree of pleasantness or unpleasantness of the emotion.              

Arousal indicates the level of alertness, excitement, or energy associated with an emotion. It ranges from high arousal (e.g., excitement, anger) to low arousal (e.g., calm, boredom). In text, high-arousal words might include ""thrilled,"" ""furious,"" or ""ecstatic,"" while low-arousal words could be ""relaxed,"" ""content,"" or ""lethargic.""
This dimension measures how stimulating or soothing the emotional state is.

Dominance reflects the degree of control, influence, or power that one feels in a particular emotional state. High dominance implies feelings of control and empowerment, while low dominance suggests feelings of submissiveness or lack of control. In text, emotions like ""confident,"" ""powerful,"" or ""authoritative"" would have high dominance, whereas ""helpless,"" ""weak,"" or ""submissive"" would have low dominance.
It gauges the extent to which an individual feels in control or overpowered by the emotion.

Now, assume you are a normal human. Say a line of natural dialogue based on the given keywords. Just add connective words and do not add any new information to the output sentence.

For example: 

Emotion: Very High Valence, High Arousal, Very High Dominance
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Very Low Valence, Low Arousal, Low Dominance
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: Very High Valence, Very High Arousal, High Dominance
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 1, 1, and -4.
Keywords: 'morning', 'cat', 'wake'
Dialogue:",The morring wake of my cat usually wakes me up.
42,42,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,proud,4.0,1.0,2.0,,,,,"Valence refers to the intrinsic attractiveness or averseness of an event, object, or situation. In the context of emotions in text, valence represents the positivity or negativity of the emotion expressed. For example, words like ""happy,"" ""joyful,"" or ""excited"" have positive valence, whereas words like ""sad,"" ""angry,"" or ""frustrated"" have negative valence.
It essentially measures the degree of pleasantness or unpleasantness of the emotion.              

Arousal indicates the level of alertness, excitement, or energy associated with an emotion. It ranges from high arousal (e.g., excitement, anger) to low arousal (e.g., calm, boredom). In text, high-arousal words might include ""thrilled,"" ""furious,"" or ""ecstatic,"" while low-arousal words could be ""relaxed,"" ""content,"" or ""lethargic.""
This dimension measures how stimulating or soothing the emotional state is.

Dominance reflects the degree of control, influence, or power that one feels in a particular emotional state. High dominance implies feelings of control and empowerment, while low dominance suggests feelings of submissiveness or lack of control. In text, emotions like ""confident,"" ""powerful,"" or ""authoritative"" would have high dominance, whereas ""helpless,"" ""weak,"" or ""submissive"" would have low dominance.
It gauges the extent to which an individual feels in control or overpowered by the emotion.

Now, assume you are a normal human. Say a line of natural dialogue based on the given keywords. Just add connective words and do not add any new information to the output sentence.

For example: 

Emotion: Very High Valence, High Arousal, Very High Dominance
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Very Low Valence, Low Arousal, Low Dominance
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: Very High Valence, Very High Arousal, High Dominance
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: 4, 1, and 2.
Keywords: 'morning', 'cat', 'wake'
Dialogue:",In the moring my cat would wake
43,43,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,anxious,-1.0,2.0,-2.0,,,,,"Valence refers to the intrinsic attractiveness or averseness of an event, object, or situation. In the context of emotions in text, valence represents the positivity or negativity of the emotion expressed. For example, words like ""happy,"" ""joyful,"" or ""excited"" have positive valence, whereas words like ""sad,"" ""angry,"" or ""frustrated"" have negative valence.
It essentially measures the degree of pleasantness or unpleasantness of the emotion.              

Arousal indicates the level of alertness, excitement, or energy associated with an emotion. It ranges from high arousal (e.g., excitement, anger) to low arousal (e.g., calm, boredom). In text, high-arousal words might include ""thrilled,"" ""furious,"" or ""ecstatic,"" while low-arousal words could be ""relaxed,"" ""content,"" or ""lethargic.""
This dimension measures how stimulating or soothing the emotional state is.

Dominance reflects the degree of control, influence, or power that one feels in a particular emotional state. High dominance implies feelings of control and empowerment, while low dominance suggests feelings of submissiveness or lack of control. In text, emotions like ""confident,"" ""powerful,"" or ""authoritative"" would have high dominance, whereas ""helpless,"" ""weak,"" or ""submissive"" would have low dominance.
It gauges the extent to which an individual feels in control or overpowered by the emotion.

Now, assume you are a normal human. Say a line of natural dialogue based on the given keywords. Just add connective words and do not add any new information to the output sentence.

For example: 

Emotion: Very High Valence, High Arousal, Very High Dominance
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Very Low Valence, Low Arousal, Low Dominance
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: Very High Valence, Very High Arousal, High Dominance
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: -1, 2, and -2.
Keywords: 'morning', 'cat', 'wake'
Dialogue:",Waking up this morring to the sound of my cat meowing is really annoying!
44,44,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,afraid,-5.0,2.0,-4.0,,,,,"Valence refers to the intrinsic attractiveness or averseness of an event, object, or situation. In the context of emotions in text, valence represents the positivity or negativity of the emotion expressed. For example, words like ""happy,"" ""joyful,"" or ""excited"" have positive valence, whereas words like ""sad,"" ""angry,"" or ""frustrated"" have negative valence.
It essentially measures the degree of pleasantness or unpleasantness of the emotion.              

Arousal indicates the level of alertness, excitement, or energy associated with an emotion. It ranges from high arousal (e.g., excitement, anger) to low arousal (e.g., calm, boredom). In text, high-arousal words might include ""thrilled,"" ""furious,"" or ""ecstatic,"" while low-arousal words could be ""relaxed,"" ""content,"" or ""lethargic.""
This dimension measures how stimulating or soothing the emotional state is.

Dominance reflects the degree of control, influence, or power that one feels in a particular emotional state. High dominance implies feelings of control and empowerment, while low dominance suggests feelings of submissiveness or lack of control. In text, emotions like ""confident,"" ""powerful,"" or ""authoritative"" would have high dominance, whereas ""helpless,"" ""weak,"" or ""submissive"" would have low dominance.
It gauges the extent to which an individual feels in control or overpowered by the emotion.

Now, assume you are a normal human. Say a line of natural dialogue based on the given keywords. Just add connective words and do not add any new information to the output sentence.

For example: 

Emotion: Very High Valence, High Arousal, Very High Dominance
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Very Low Valence, Low Arousal, Low Dominance
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: Very High Valence, Very High Arousal, High Dominance
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: -5, 2, and -4.
Keywords: 'morning', 'cat', 'wake'
Dialogue:","Ugh, waking up to my cat meowing in the moring is really annoying!"
45,45,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,terrified,-5.0,4.0,-4.0,,,,,"Valence refers to the intrinsic attractiveness or averseness of an event, object, or situation. In the context of emotions in text, valence represents the positivity or negativity of the emotion expressed. For example, words like ""happy,"" ""joyful,"" or ""excited"" have positive valence, whereas words like ""sad,"" ""angry,"" or ""frustrated"" have negative valence.
It essentially measures the degree of pleasantness or unpleasantness of the emotion.              

Arousal indicates the level of alertness, excitement, or energy associated with an emotion. It ranges from high arousal (e.g., excitement, anger) to low arousal (e.g., calm, boredom). In text, high-arousal words might include ""thrilled,"" ""furious,"" or ""ecstatic,"" while low-arousal words could be ""relaxed,"" ""content,"" or ""lethargic.""
This dimension measures how stimulating or soothing the emotional state is.

Dominance reflects the degree of control, influence, or power that one feels in a particular emotional state. High dominance implies feelings of control and empowerment, while low dominance suggests feelings of submissiveness or lack of control. In text, emotions like ""confident,"" ""powerful,"" or ""authoritative"" would have high dominance, whereas ""helpless,"" ""weak,"" or ""submissive"" would have low dominance.
It gauges the extent to which an individual feels in control or overpowered by the emotion.

Now, assume you are a normal human. Say a line of natural dialogue based on the given keywords. Just add connective words and do not add any new information to the output sentence.

For example: 

Emotion: Very High Valence, High Arousal, Very High Dominance
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Very Low Valence, Low Arousal, Low Dominance
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: Very High Valence, Very High Arousal, High Dominance
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: -5, 4, and -4.
Keywords: 'morning', 'cat', 'wake'
Dialogue:",The morring wake up of my cat is so annoying!
46,46,gpt_4,conversation,"morning, cat, wake",VAD_Numeric,annoyed,-2.0,0.0,-1.0,,,,,"Valence refers to the intrinsic attractiveness or averseness of an event, object, or situation. In the context of emotions in text, valence represents the positivity or negativity of the emotion expressed. For example, words like ""happy,"" ""joyful,"" or ""excited"" have positive valence, whereas words like ""sad,"" ""angry,"" or ""frustrated"" have negative valence.
It essentially measures the degree of pleasantness or unpleasantness of the emotion.              

Arousal indicates the level of alertness, excitement, or energy associated with an emotion. It ranges from high arousal (e.g., excitement, anger) to low arousal (e.g., calm, boredom). In text, high-arousal words might include ""thrilled,"" ""furious,"" or ""ecstatic,"" while low-arousal words could be ""relaxed,"" ""content,"" or ""lethargic.""
This dimension measures how stimulating or soothing the emotional state is.

Dominance reflects the degree of control, influence, or power that one feels in a particular emotional state. High dominance implies feelings of control and empowerment, while low dominance suggests feelings of submissiveness or lack of control. In text, emotions like ""confident,"" ""powerful,"" or ""authoritative"" would have high dominance, whereas ""helpless,"" ""weak,"" or ""submissive"" would have low dominance.
It gauges the extent to which an individual feels in control or overpowered by the emotion.

Now, assume you are a normal human. Say a line of natural dialogue based on the given keywords. Just add connective words and do not add any new information to the output sentence.

For example: 

Emotion: Very High Valence, High Arousal, Very High Dominance
Keywords: 'running', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Very Low Valence, Low Arousal, Low Dominance
Keywords: 'banana', 'plant', 'brown'
Dialogue: It really sucks that my banana plant is turning brown

Emotion: Very High Valence, Very High Arousal, High Dominance
Keywords: ""visit"", ""parents"", ""month""
Dialogue: I'm finally going to visit my parents next month!

Now, respond to the following:
Emotion: -2, 0, and -1.
Keywords: 'morning', 'cat', 'wake'
Dialogue:",In the morring my cat always tries to wake me up!
