Unnamed: 0,Model,Prompt,Keywords,Type,Emotion,Output,Valence,Arousal,Dominance,V,A,D,Emoji,Full_Prompt
0,gpt_4,conversation,"morning, cat, wake",Emotion,grateful,Waking up to my cat every morning fills me with such appreciation!,,,,,,,,"Here are some examples: 

Emotion: Proud
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Lonely
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: Sad
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not use the word grateful in the dialogue.:
Emotion: grateful
Keywords: 'morning', 'cat', 'wake'
Dialogue:"
1,gpt_4,conversation,"morning, cat, wake",Emotion,joyful,Waking up to my cat in the morning brings me so much happiness!,,,,,,,,"Here are some examples: 

Emotion: Proud
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Lonely
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: Sad
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not use the word joyful in the dialogue.:
Emotion: joyful
Keywords: 'morning', 'cat', 'wake'
Dialogue:"
2,gpt_4,conversation,"morning, cat, wake",Emotion,content,Waking up to my cat every morning brings me such peace.,,,,,,,,"Here are some examples: 

Emotion: Proud
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Lonely
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: Sad
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not use the word content in the dialogue.:
Emotion: content
Keywords: 'morning', 'cat', 'wake'
Dialogue:"
3,gpt_4,conversation,"morning, cat, wake",Emotion,surprised,I couldn't believe it when my cat woke me up this morning!,,,,,,,,"Here are some examples: 

Emotion: Proud
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Lonely
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: Sad
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not use the word surprised in the dialogue.:
Emotion: surprised
Keywords: 'morning', 'cat', 'wake'
Dialogue:"
4,gpt_4,conversation,"morning, cat, wake",Emotion,excited,Waking up to my cat in the morning always gives me such a thrill!,,,,,,,,"Here are some examples: 

Emotion: Proud
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Lonely
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: Sad
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not use the word excited in the dialogue.:
Emotion: excited
Keywords: 'morning', 'cat', 'wake'
Dialogue:"
5,gpt_4,conversation,"morning, cat, wake",Emotion,impressed,Seeing my cat wake up every morning is truly remarkable!,,,,,,,,"Here are some examples: 

Emotion: Proud
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Lonely
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: Sad
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not use the word impressed in the dialogue.:
Emotion: impressed
Keywords: 'morning', 'cat', 'wake'
Dialogue:"
6,gpt_4,conversation,"morning, cat, wake",Emotion,proud,Waking up every morning to see my cat is a real joy!,,,,,,,,"Here are some examples: 

Emotion: Proud
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Lonely
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: Sad
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not use the word proud in the dialogue.:
Emotion: proud
Keywords: 'morning', 'cat', 'wake'
Dialogue:"
7,gpt_4,conversation,"morning, cat, wake",Emotion,anxious,Waking up in the morning to find my cat missing always makes me feel uneasy.,,,,,,,,"Here are some examples: 

Emotion: Proud
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Lonely
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: Sad
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not use the word anxious in the dialogue.:
Emotion: anxious
Keywords: 'morning', 'cat', 'wake'
Dialogue:"
8,gpt_4,conversation,"morning, cat, wake",Emotion,afraid,Waking up in the morning and not finding my cat anywhere really scares me.,,,,,,,,"Here are some examples: 

Emotion: Proud
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Lonely
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: Sad
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not use the word afraid in the dialogue.:
Emotion: afraid
Keywords: 'morning', 'cat', 'wake'
Dialogue:"
9,gpt_4,conversation,"morning, cat, wake",Emotion,terrified,Waking up to my cat's eerie howl this morning was absolutely horrifying.,,,,,,,,"Here are some examples: 

Emotion: Proud
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Lonely
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: Sad
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not use the word terrified in the dialogue.:
Emotion: terrified
Keywords: 'morning', 'cat', 'wake'
Dialogue:"
10,gpt_4,conversation,"morning, cat, wake",Emotion,annoyed,It's really frustrating how every morning my cat wakes me up so early!,,,,,,,,"Here are some examples: 

Emotion: Proud
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Lonely
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: Sad
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not use the word annoyed in the dialogue.:
Emotion: annoyed
Keywords: 'morning', 'cat', 'wake'
Dialogue:"
11,gpt_4,conversation,"morning, cat, wake",Emotion,angry,It really frustrates me when my cat wakes me up early in the morning.,,,,,,,,"Here are some examples: 

Emotion: Proud
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Lonely
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: Sad
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not use the word angry in the dialogue.:
Emotion: angry
Keywords: 'morning', 'cat', 'wake'
Dialogue:"
12,gpt_4,conversation,"morning, cat, wake",Emotion,furious,I was so angry this morning when my cat woke me up early!,,,,,,,,"Here are some examples: 

Emotion: Proud
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Lonely
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: Sad
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not use the word furious in the dialogue.:
Emotion: furious
Keywords: 'morning', 'cat', 'wake'
Dialogue:"
13,gpt_4,conversation,"morning, cat, wake",Emotion,sad,It's really heartbreaking to wake up in the morning without my cat.,,,,,,,,"Here are some examples: 

Emotion: Proud
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Lonely
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: Sad
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not use the word sad in the dialogue.:
Emotion: sad
Keywords: 'morning', 'cat', 'wake'
Dialogue:"
14,gpt_4,conversation,"morning, cat, wake",Emotion,devastated,Waking up this morning to find my cat had passed away left me completely heartbroken.,,,,,,,,"Here are some examples: 

Emotion: Proud
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Lonely
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: Sad
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not use the word devastated in the dialogue.:
Emotion: devastated
Keywords: 'morning', 'cat', 'wake'
Dialogue:"
15,gpt_4,conversation,"morning, cat, wake",Emotion,ashamed,I feel so embarrassed that I forgot to wake up this morning to feed my cat.,,,,,,,,"Here are some examples: 

Emotion: Proud
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Lonely
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: Sad
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not use the word ashamed in the dialogue.:
Emotion: ashamed
Keywords: 'morning', 'cat', 'wake'
Dialogue:"
16,gpt_4,conversation,"morning, cat, wake",Emotion,embarrassed,"I woke up this morning to my cat making a huge mess, and I felt so awkward about it!",,,,,,,,"Here are some examples: 

Emotion: Proud
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Lonely
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: Sad
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not use the word embarrassed in the dialogue.:
Emotion: embarrassed
Keywords: 'morning', 'cat', 'wake'
Dialogue:"
17,gpt_4,conversation,"morning, cat, wake",Emotion,guilty,I feel really bad about waking my cat up this morning.,,,,,,,,"Here are some examples: 

Emotion: Proud
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Lonely
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: Sad
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not use the word guilty in the dialogue.:
Emotion: guilty
Keywords: 'morning', 'cat', 'wake'
Dialogue:"
72,gpt_4,conversation,"great, place, korean",Emotion,grateful,I'm really thankful for this great Korean place!,,,,,,,,"Here are some examples: 

Emotion: Proud
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Lonely
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: Sad
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not use the word grateful in the dialogue.:
Emotion: grateful
Keywords: 'great', 'place', 'korean'
Dialogue:"
73,gpt_4,conversation,"great, place, korean",Emotion,joyful,Visiting that great Korean place made me so happy!,,,,,,,,"Here are some examples: 

Emotion: Proud
Keywords: 'running', 'accomplishment', 'marathon', 'first'
Dialogue: Running my first marathon felt like such a huge accomplishment!

Emotion: Lonely
Keywords: 'country', 'live', 'friends', 'feel'
Dialogue: I feel so lonely sometimes because all my friends live in a different country

Emotion: Sad
Keywords: 'banana', 'plant', 'leaf', 'brown'
Dialogue: It really sucks that my banana plant's leaf is turning brown

Now, respond to the following. Remember, do not use the word joyful in the dialogue.:
Emotion: joyful
Keywords: 'great', 'place', 'korean'
Dialogue:"
